time,wx,wy,wz
21.5365469455719,-0.14,0.12,0.0
21.54656195640564,-0.12,0.12,0.02
21.55773401260376,-0.1,0.12,0.04
21.567954063415527,-0.08,0.13,0.05
21.577831983566284,-0.06,0.13,0.07
21.588104963302612,-0.04,0.13,0.1
21.598065853118896,-0.02,0.13,0.13
21.60817003250122,-0.01,0.13,0.17
21.625938892364502,0.0,0.13,0.21
21.6278338432312,0.01,0.13,0.25
21.637375831604004,0.02,0.13,0.28
21.64718008041382,0.03,0.13,0.29
21.658195972442627,0.04,0.13,0.29
21.668246030807495,0.05,0.13,0.28
21.678247928619385,0.06,0.13,0.26
21.688418865203857,0.06,0.12,0.23
21.69845700263977,0.06,0.12,0.19
21.708395957946777,0.06,0.12,0.17
21.725360870361328,0.06,0.12,0.16
21.727762937545776,0.06,0.11,0.15
21.738079071044922,0.05,0.11,0.17
21.747969150543213,0.05,0.11,0.19
21.75916600227356,0.05,0.11,0.21
21.76887798309326,0.05,0.11,0.24
21.778937816619873,0.06,0.11,0.25
21.789559841156006,0.08,0.11,0.27
21.799800872802734,0.1,0.1,0.28
21.80941104888916,0.12,0.1,0.29
21.828475952148438,0.14,0.1,0.3
21.830528020858765,0.15,0.09,0.31
21.83894395828247,0.17,0.09,0.34
21.84870195388794,0.18,0.09,0.37
21.859827041625977,0.18,0.09,0.41
21.870049953460693,0.19,0.08,0.45
21.879394054412842,0.2,0.08,0.49
21.889997959136963,0.2,0.08,0.52
21.900941848754883,0.21,0.07,0.54
21.92466115951538,0.22,0.07,0.54
21.925972938537598,0.23,0.07,0.54
21.929322004318237,0.24,0.06,0.52
21.93941307067871,0.25,0.06,0.49
21.950663089752197,0.26,0.05,0.46
21.96037197113037,0.26,0.04,0.43
21.970733165740967,0.26,0.03,0.41
21.980417013168335,0.26,0.02,0.4
21.99116086959839,0.26,0.01,0.39
22.001809120178223,0.25,0.01,0.39
22.026761054992676,0.25,0.0,0.38
22.02867889404297,0.25,-0.01,0.37
22.03017807006836,0.25,-0.02,0.36
22.04049301147461,0.26,-0.03,0.34
22.051467895507812,0.27,-0.04,0.32
22.060807943344116,0.27,-0.04,0.3
22.07135581970215,0.28,-0.06,0.29
22.081032037734985,0.28,-0.06,0.28
22.091619968414307,0.28,-0.07,0.29
22.102662086486816,0.28,-0.08,0.3
22.124754905700684,0.27,-0.09,0.33
22.12652587890625,0.27,-0.1,0.35
22.130859851837158,0.27,-0.11,0.38
22.1410231590271,0.26,-0.11,0.4
22.151159048080444,0.26,-0.12,0.42
22.16252899169922,0.26,-0.13,0.43
22.172245979309082,0.26,-0.14,0.42
22.182286024093628,0.26,-0.15,0.42
22.192481994628906,0.25,-0.15,0.41
22.202438831329346,0.25,-0.16,0.4
22.224544048309326,0.25,-0.17,0.4
22.226120948791504,0.24,-0.17,0.39
22.231547832489014,0.24,-0.18,0.4
22.241809844970703,0.24,-0.19,0.4
22.251798152923584,0.25,-0.19,0.41
22.262094020843506,0.25,-0.19,0.41
22.272794008255005,0.25,-0.2,0.4
22.2831449508667,0.26,-0.21,0.37
22.292477130889893,0.27,-0.21,0.34
22.303208827972412,0.27,-0.22,0.3
22.32027006149292,0.28,-0.23,0.26
22.321938037872314,0.28,-0.23,0.22
22.33226490020752,0.27,-0.23,0.19
22.342488050460815,0.27,-0.24,0.17
22.35388994216919,0.26,-0.25,0.15
22.363034963607788,0.25,-0.25,0.15
22.373379945755005,0.24,-0.25,0.15
22.384148120880127,0.22,-0.26,0.17
22.393433094024658,0.21,-0.26,0.17
22.404251098632812,0.2,-0.27,0.18
22.421070098876953,0.18,-0.27,0.17
22.422752857208252,0.17,-0.27,0.16
22.433140993118286,0.16,-0.28,0.14
22.44331693649292,0.15,-0.29,0.12
22.45404815673828,0.14,-0.29,0.11
22.46378803253174,0.13,-0.29,0.11
22.47498893737793,0.12,-0.29,0.1
22.48443603515625,0.11,-0.3,0.1
22.49405002593994,0.11,-0.3,0.11
22.5047550201416,0.11,-0.3,0.12
22.52269697189331,0.11,-0.3,0.12
22.52371597290039,0.11,-0.31,0.12
22.53455400466919,0.11,-0.31,0.1
22.544435024261475,0.11,-0.31,0.07
22.554723024368286,0.11,-0.31,0.03
22.56453800201416,0.11,-0.32,-0.01
22.574915885925293,0.12,-0.32,-0.05
22.585206031799316,0.11,-0.32,-0.08
22.595181941986084,0.1,-0.33,-0.11
22.605528831481934,0.08,-0.33,-0.13
22.62234115600586,0.07,-0.33,-0.13
22.62446689605713,0.06,-0.33,-0.12
22.634554862976074,0.05,-0.33,-0.11
22.64552116394043,0.04,-0.33,-0.1
22.65560793876648,0.02,-0.33,-0.09
22.666038036346436,0.0,-0.33,-0.09
22.675414085388184,-0.01,-0.33,-0.1
22.685964107513428,-0.02,-0.33,-0.12
22.695487022399902,-0.03,-0.33,-0.14
22.720210075378418,-0.05,-0.34,-0.15
22.722309112548828,-0.08,-0.33,-0.16
22.725029945373535,-0.1,-0.33,-0.17
22.737056016921997,-0.12,-0.33,-0.17
22.746292114257812,-0.14,-0.33,-0.16
22.755849838256836,-0.15,-0.33,-0.16
22.766450881958008,-0.17,-0.32,-0.16
22.776576042175293,-0.18,-0.33,-0.17
22.78672504425049,-0.19,-0.33,-0.19
22.7965669631958,-0.2,-0.33,-0.23
22.821073055267334,-0.2,-0.33,-0.27
22.82291603088379,-0.21,-0.32,-0.31
22.82559585571289,-0.21,-0.32,-0.35
22.836246013641357,-0.22,-0.32,-0.37
22.847012996673584,-0.23,-0.32,-0.4
22.856788158416748,-0.24,-0.32,-0.4
22.86642098426819,-0.24,-0.32,-0.4
22.877588987350464,-0.24,-0.31,-0.39
22.887418031692505,-0.24,-0.31,-0.37
22.897917985916138,-0.25,-0.31,-0.35
22.924782037734985,-0.25,-0.31,-0.34
22.92643404006958,-0.26,-0.3,-0.34
22.927846908569336,-0.27,-0.3,-0.35
22.936437129974365,-0.28,-0.3,-0.35
22.9475519657135,-0.28,-0.29,-0.35
22.95753812789917,-0.3,-0.29,-0.35
22.968060970306396,-0.31,-0.29,-0.34
22.977543830871582,-0.32,-0.28,-0.32
